participant,folder,selected_file
asxasx,A mirror reflects a blue scooter with a red helmet on a sidewalk beside a wooden fence,Mirror Change Top Layers _ Alpha_ 0_5.png
asxasx,Tall potted plant and large mirror beside a counter with pastries and a person behind the counter,Mirror Change Top Layers _ Alpha_ 0_5.png
asxasx,"A mirror reflects wood and marble tables, black chairs, and a rattan partition between tables",Mirror Change Top Layers _ Alpha_ 0_5.png
asxasx,A tall mirror beside a concrete trash bin and a black chair on a paved ground,Mirror Change Top Layers _ Alpha_ 0_5.png
asxasx,A mirror on two white bar chairs beside a Stella Artois beer tap and outdoor seating,No Intervension _ Alpha_ 0_5.png
asxasx,"A mirror reflects a pastel dress on a rack, surrounded by colorful clothes and posters",
asxasx,A rectangular mirror near shelves of eyeglasses reflects lights and image in an eyewear store,
asxasx,"A mirror reflects a garden path and green bushes, standing near purple flowers, and a tall leafy hedge",
asxasx,"A mirror reflects a wicker basket with a black bag on it, and above it a wall shelf with plants and a portable air conditioner.",
asxasx,An orange recycling bin and green bin reflected in a mirror beside a metal gate,
asxasx,An oval mirror stands above a display of sunglasses in a brightly lit eyewear store,
asxasx,"A mirror on the floor reflects a mirror, TV, partial window and dresser with decor",
asxasx,"A mirror on a wooden desk, reflecting microphones, speakers and chairs",
asxasx,"A tall mirror reflects a bed, pillows, nightstand, lamp, and woven laundry basket",
asxasx,A mirror next to a portable air conditioner reflects a wooden ladder with hats and clothes leaning against a closet and a bedside table on a black carpet.,
